atomicNumber,symbol,name,atomicMass,electronicConfiguration,electronegativity,atomicRadius,ionizationEnergy,electronAffinity,yearDiscovered,gno,pno,bname
1," H "," Hydrogen"," 1.00794(4)","1s1 ",2.2,37,1312,-73,1766,NULL,NULL,
2," He "," Helium"," 4.002602(2)","1s2 ",,32,2372,0,1868,NULL,NULL,
3," Li "," Lithium"," 6.941(2)","[He] 2s1 ",0.98,134,520,-60,1817,NULL,NULL,
4," Be "," Beryllium"," 9.012182(3)","[He] 2s2 ",1.57,90,900,0,1798,NULL,NULL,
5," B "," Boron"," 10.811(7)","[He] 2s2 2p1 ",2.04,82,801,-27,1807,NULL,NULL,
6," C "," Carbon"," 12.0107(8)","[He] 2s2 2p2 ",2.55,77,1087,-154,0,NULL,NULL,
7," N "," Nitrogen"," 14.0067(2)","[He] 2s2 2p3 ",3.04,75,1402,-7,1772,NULL,NULL,
8," O "," Oxygen"," 15.9994(3)","[He] 2s2 2p4 ",3.44,73,1314,-141,1774,NULL,NULL,
9," F "," Fluorine"," 18.9984032(5)","[He] 2s2 2p5 ",3.98,71,1681,-328,1670,NULL,NULL,
10," Ne "," Neon"," 20.1797(6)","[He] 2s2 2p6 ",,69,2081,0,1898,NULL,NULL,
11," Na "," Sodium"," 22.98976928(2)","[Ne] 3s1 ",0.93,154,496,-53,1807,NULL,NULL,
12," Mg "," Magnesium"," 24.3050(6)","[Ne] 3s2 ",1.31,130,738,0,1808,NULL,NULL,
13," Al "," Aluminum"," 26.9815386(8)","[Ne] 3s2 3p1 ",1.61,118,578,-43,0,NULL,NULL,
14," Si "," Silicon"," 28.0855(3)","[Ne] 3s2 3p2 ",1.9,111,787,-134,1854,NULL,NULL,
15," P "," Phosphorus"," 30.973762(2)","[Ne] 3s2 3p3 ",2.19,106,1012,-72,1669,NULL,NULL,
16," S "," Sulfur"," 32.065(5)","[Ne] 3s2 3p4 ",2.58,102,1000,-200,0,NULL,NULL,
17," Cl "," Chlorine"," 35.453(2)","[Ne] 3s2 3p5 ",3.16,99,1251,-349,1774,NULL,NULL,
18," Ar "," Argon"," 39.948(1)","[Ne] 3s2 3p6 ",,97,1521,0,1894,NULL,NULL,
